Date,Open,High,Low,Close,Adj Close,Volume,OpenA,HighA,LowA,CloseA,Adj CloseA,VolumeA,OpenB,HighB,LowB,CloseB,Adj CloseB,VolumeB,OpenC,HighC,LowC,CloseC,Adj CloseC,VolumeC
2020-04-30,855.190002,869.820007,763.5,781.880005,781.880005,28400100,2419.840088,2475,2396.01001,2474,2474,9415000,3249.98999,3249.98999,3011.100098,3011.100098,3008.794434,600,1514.530029,1520.420044,1464.780029,1480.569946,1480.569946,450900
2020-05-01,755,772.77002,683.039978,701.320007,701.320007,32531800,2336.800049,2362.439941,2258.189941,2286.040039,2286.040039,9772600,3028,3060,2957.76001,2966.48999,2964.218506,400,1442.75,1460.300049,1415.310059,1448.790039,1448.790039,458500
2020-05-04,701,762,698,761.190002,761.190002,19237100,2256.379883,2326.97998,2256.379883,2315.98999,2315.98999,4865900,2980,3000,2852,2900,2897.779541,1100,1415.72998,1445.319946,1388.51001,1413.300049,1413.300049,471400
2020-05-05,789.789978,798.919983,762.179993,768.210022,768.210022,16991700,2340,2351,2307.129883,2317.800049,2317.800049,3242500,2863.600098,2979.97998,2863.600098,2938.649902,2936.399902,600,1443.25,1446.359985,1383.859985,1393.199951,1393.199951,425900
2020-05-06,776.5,789.799988,761.109985,782.580017,782.580017,11123200,2329.439941,2357.449951,2320,2351.26001,2351.26001,3117800,2940,2997.98999,2890.01001,2890.01001,2890.01001,1100,1397.459961,1416.359985,1356,1378.910034,1378.910034,526600
2020-05-07,777.210022,796.400024,772.349976,780.039978,780.039978,11527700,2374.780029,2376,2343.110107,2367.610107,2367.610107,3396400,2939.98999,3054.969971,2918.01001,3020,3020,600,1392.26001,1448.589966,1382,1443.910034,1443.910034,654800
2020-05-08,793.77002,824,787.01001,819.419983,819.419983,16130100,2372.139893,2387.23999,2357,2379.610107,2379.610107,3211200,3058,3254.949951,3023,3217.01001,3217.01001,900,1440.98999,1444.25,1366.099976,1430.829956,1430.829956,877400
2020-05-11,790.51001,824,785,811.289978,811.289978,16471100,2374.699951,2419.669922,2372.110107,2409,2409,3253700,3206.51001,3246,3083.709961,3083.709961,3083.709961,700,1427.02002,1428.969971,1403.119995,1411,1411,564700
2020-05-12,827,843.289978,808,809.409973,809.409973,15906900,2411.850098,2419,2355,2356.949951,2356.949951,3074900,3104.360107,3125,3015,3027.889893,3027.889893,1000,1401.089966,1413.97998,1385.109985,1385.920044,1385.920044,506900
2020-05-13,820.830017,826,763.299988,790.960022,790.960022,19065500,2366.800049,2407.699951,2337.800049,2367.919922,2367.919922,4782900,3099.98999,3099.98999,2971.02002,3063.77002,3063.77002,500,1379.339966,1388.920044,1336.319946,1366.069946,1366.069946,780900
2020-05-14,780,803.359985,764,803.330017,803.330017,13682200,2361.01001,2391.370117,2353.209961,2388.850098,2388.850098,3648100,2950.030029,3037.699951,2920,2975.790039,2975.790039,500,1348.73999,1388.939941,1303.25,1382.51001,1382.51001,708700
2020-05-15,790.349976,805.049988,786.549988,799.169983,799.169983,10518400,2368.52002,2411,2356.370117,2409.780029,2409.780029,4235000,3000,3096,2950,3050.169922,3050.169922,700,1377.01001,1409.48999,1372.130005,1384.310059,1384.310059,632600
2020-05-18,827.780029,834.719971,803.880005,813.630005,813.630005,11698100,2404.350098,2433,2384.01001,2426.26001,2426.26001,4366600,3097.51001,3200,3050.169922,3192,3192,700,1430,1581.560059,1430,1557.430054,1557.430054,1322000
2020-05-19,815.169983,822.070007,806.080017,808.01001,808.01001,9636500,2429.830078,2485,2428.969971,2449.330078,2449.330078,4320500,3122,3200.459961,3005.02002,3040,3040,500,1556.290039,1598.829956,1544.160034,1547.560059,1547.560059,828400
